id,name,size,aui
6295,Renal tubulo-interstitial disorders in neoplastic diseases,894,A1068085
6296,Renal tubulo-interstitial disorders in blood diseases and disorders involving the immune mechanism,894,A1068069
6297,Renal tubulo-interstitial disorders in metabolic diseases,894,A1068081
6298,Renal tubulo-interstitial disorders in systemic connective tissue disorders,894,A1068093
6299,Drug- and heavy-metal-induced tubulo-interstitial and tubular conditions,1000,A0922551
6300,Kidney transplant failure and rejection,894,A0979276
6301,Glomerular disorders in neoplastic diseases,894,A0951256
6302,Glomerular disorders in blood diseases and disorders involving the immune mechanism,894,A0951246
6303,Nephropathy induced by other drugs medicaments and biological substances,894,A1010543
6304,Nephropathy induced by heavy metals,894,A1010537
6305,Hydronephrosis with renal and ureteral calculous obstruction,894,A0962462
6306,Urinary tract infection following delivery,894,A1113958
6307,Isolated proteinuria with specified morphological lesion,1000,A0977234
6308,Isolated proteinuria with specified morphological lesion unspecified,894,A0977247
6309,Retained intrauterine contraceptive device in pregnancy,894,A1069978
6310,Female chlamydial pelvic inflammatory disease,894,A0941035
6311,Female syphilitic pelvic inflammatory disease,894,A0941148
6312,Subacute and chronic vaginitis,894,A1092718
6313,Subacute and chronic vulvitis,894,A1092721
6314,Continuing pregnancy after abortion of one fetus or more,894,A0906121
6315,Continuing pregnancy after intrauterine death of one fetus or more,894,A0906125
6316,Delivery of viable fetus in abdominal pregnancy,894,A0914725
6317,Failed medical abortion without complication,894,A0938533
6318,Premature separation of placenta with coagulation defect,894,A1054660
6319,Multiple delivery all spontaneous,894,A1005990
6320,Multiple delivery all by forceps and vacuum extractor,894,A1005987
6321,Death from sequelae of direct obstetric causes,1000,A0913499
6322,Infections of the genital tract in pregnancy,894,A0968561
6323,Viral hepatitis complicating pregnancy childbirth and the puerperium,894,A1118085
6324,Diseases of the respiratory system complicating pregnancy childbirth and the puerperium,894,A0918981
6325,Diseases of the digestive system complicating pregnancy childbirth and the puerperium,894,A0918978
6326,Diseases of the skin and subcutaneous tissue complicating pregnancy childbirth and the puerperium,894,A0918984
6327,Complications specific to multiple gestation,1000,A0902390
6328,Abnormal biochemical finding on antenatal screening of mother,894,A0851999
6329,Abnormal cytological finding on antenatal screening of mother,894,A0852026
6330,Abnormal radiological finding on antenatal screening of mother,894,A0852440
6331,Abnormal chromosomal and genetic finding on antenatal screening of mother,894,A0852015
6332,Failed or difficult intubation during pregnancy,894,A0938558
6333,Failed or difficult intubation during the puerperium,894,A0938561
6334,Maternal care for compound presentation,894,A0997981
6335,Maternal care for other known or suspected fetal problems,1000,A0998051
6336,Maternal care for hydrops fetalis,894,A0998016
6337,Maternal care for viable fetus in abdominal pregnancy,894,A0998075
6338,Dietary selenium deficiency,1000,A0687407
6339,Dietary zinc deficiency,1000,A0687411
6340,Obesity due to excess calories,894,A0755832
6341,Chronic instability of knee,816,A0896198
6342,Sequelae of dislocation sprain and strain of upper limb,894,A1082066
6343,Subluxation of symphysis (pubis) in pregnancy childbirth and the puerperium,894,A1093227
6344,Subluxation complex (vertebral),894,A1093199
6345,Subluxation stenosis of neural canal,894,A1093237
6346,Dislocations sprains and strains involving multiple body regions,1000,A0919179
6347,Dislocations sprains and strains involving head with neck,894,A0919176
6348,Dislocations sprains and strains involving thorax with lower back and pelvis,894,A0919193
6349,Dislocations sprains and strains involving multiple regions of upper limb(s),894,A0919185
6350,Dislocations sprains and strains involving multiple regions of lower limb(s),894,A0919182
6351,Brucella spondylitis,816,A0882466
6352,Enterobacterial spondylitis,816,A0929132
6353,Staphylococcal arthritis and polyarthritis,816,A1091018
6354,Postinfective arthropathy in syphilis,816,A1053571
6355,Juvenile arthritis in Crohn's disease [regional enteritis],816,A0978317
6356,Juvenile arthritis in ulcerative colitis,816,A0978325
6357,Neuropathic spondylopathy,816,A1011187
6358,Secondary multiple arthrosis,816,A1080751
6359,Erosive (osteo)arthrosis,816,A0929821
6360,Systemic sclerosis induced by drugs and chemicals,894,A1097547
6361,Rheumatoid bursitis,816,A1071509
6362,Calcium deposit in bursa,816,A0889858
6363,Myositis in sarcoidosis,816,A1007514
6364,Sequelae of injury of muscle and tendon of upper limb,894,A1082135
6365,Injury of muscle and tendon at neck level,1000,A0971333
6366,Injury of multiple muscles and tendons at shoulder and upper arm level,894,A0971296
6367,Injury of muscle and tendon of head,894,A0971346
6368,Injury of muscle and tendon at thorax level,894,A0971338
6369,Injury of muscle and tendon of abdomen lower back and pelvis,894,A0971343
6370,Injury of muscle and tendon at forearm level,1000,A0971324
6371,Injury of flexor muscle and tendon of thumb at forearm level,894,A0971186
6372,Injury of extensor or abductor muscles and tendons of thumb at forearm level,894,A0971162
6373,Injury of multiple muscles and tendons at forearm level,894,A0971287
6374,Injury of muscle and tendon at hip and thigh level,1000,A0971327
6375,Injury of adductor muscle and tendon of thigh,894,A0971043
6376,Injury of multiple muscles and tendons at hip and thigh level,894,A0971290
6377,Injury of muscle and tendon at lower leg level,1000,A0971330
6378,Injury of unspecified muscle and tendon at lower leg level,894,A0971691
6379,Injury of muscle(s) and tendon(s) of anterior muscle group at lower leg level,894,A0971365
6380,Injury of muscle(s) and tendon(s) of peroneal muscle group at lower leg level,894,A0971368
6381,Injury of muscle and tendon at ankle and foot level,1000,A0971321
6382,Injury of unspecified muscle and tendon at ankle and foot level,894,A0971689
6383,Injury of muscle and tendon of long flexor muscle of toe at ankle and foot level,894,A0971354
6384,Injury of muscle and tendon of long extensor muscle of toe at ankle and foot level,894,A0971351
6385,Injury of multiple muscles and tendons at lower leg level,894,A0971293
6386,Injuries of muscles and tendons involving multiple body regions,894,A0970635
6387,Localized osteoporosis [Lequesne],816,A0989131
6388,Osteoporosis in endocrine disorders,816,A1025631
6389,Postoophorectomy osteoporosis,816,A1053681
6390,Postoophorectomy osteoporosis with pathological fracture,816,A1053684
6391,Postsurgical malabsorption osteoporosis,816,A1053839
6392,Osteoporosis in multiple myelomatosis,816,A1025634
6393,Senile osteomalacia,816,A1081639
6394,Adult osteomalacia due to malabsorption,816,A0859599
6395,Adult osteomalacia due to malnutrition,816,A0859602
6396,Idiopathic aseptic necrosis of bone,816,A0965758
6397,Osteonecrosis due to drugs,816,A1025573
6398,Osteonecrosis due to previous trauma,816,A1025586
6399,Fatigue fracture of vertebra,816,A0940484
6400,Osteoporosis of disuse with pathological fracture,816,A1025642
6401,Postsurgical malabsorption osteoporosis with pathological fracture,816,A1053840
6402,Drug-induced osteoporosis with pathological fracture,816,A0922629
6403,Idiopathic osteoporosis with pathological fracture,816,A0965813
6404,Fracture of bone in neoplastic disease,816,A0946630
6405,Pseudarthrosis after fusion or arthrodesis,894,A1059055
6406,Infection of intervertebral disc (pyogenic),816,A0968504
6407,Cervical disc disorder with radiculopathy,816,A0893566
6408,Traumatic rupture of thoracic intervertebral disc,894,A1107509
6409,Traumatic rupture of lumbar intervertebral disc,894,A1107499
6410,Intervertebral disc stenosis of neural canal,894,A0975257
6411,Recurrent atlantoaxial subluxation with myelopathy,816,A1065189
6412,Osseous and subluxation stenosis of intervertebral foramina,894,A1025366
6413,Connective tissue and disc stenosis of intervertebral foramina,894,A0904378
6414,Cleft hard palate with bilateral cleft lip,894,A1844501
6415,Cleft hard palate with unilateral cleft lip,894,A1846848
6416,Mechanical complication of internal joint prosthesis,894,A0998635
6417,Osseous stenosis of neural canal,894,A1025371
6418,Connective tissue stenosis of neural canal,894,A0904386
6419,Segmental and somatic dysfunction,894,A1081189
6420,Post-traumatic gonarthrosis bilateral,816,A1052390
6421,Primary coxarthrosis bilateral,816,A1055647
6422,Coxarthrosis resulting from dysplasia bilateral,816,A0908669
6423,Primary gonarthrosis bilateral,816,A1055725
6424,Post-traumatic coxarthrosis bilateral,816,A1052383
6425,Primary arthrosis of first carpometacarpal joints bilateral,816,A1055482
6426,Post-traumatic arthrosis of first carpometacarpal joints bilateral,816,A1052373
6427,Erythema marginatum in acute rheumatic fever,894,A0929868
6428,Other acute skin changes due to ultraviolet radiation,1000,A1027254
6429,Skin changes due to chronic exposure to nonionizing radiation,1000,A1086489
6430,Skin changes due to chronic exposure to nonionizing radiation unspecified,894,A1086491
6431,Sequelae of open wound of head,894,A1082171
6432,Multiple open wounds of hip and thigh,894,A1006139
6433,Open wound of toe(s) with damage to nail,894,A1023238
6434,Sequelae of superficial injury and open wound of neck and trunk,894,A1082231
6435,Sequelae of open wound of upper limb,894,A1082177
6436,Open wounds involving multiple regions of lower limb(s),894,A1023295
6437,Open wounds involving head with neck,894,A1023289
6438,Avulsion of scalp,894,A0872907
6439,Allergic contact dermatitis due to adhesives,894,A0862105
6440,Allergic contact dermatitis due to cosmetics,894,A0862108
6441,Allergic contact dermatitis due to drugs in contact with skin,894,A0862111
6442,Allergic contact dermatitis due to dyes,894,A0862114
6443,Allergic contact dermatitis due to food in contact with skin,894,A0862117
6444,Allergic contact dermatitis due to plants except food,894,A0862131
6445,Irritant contact dermatitis due to cosmetics,894,A0976991
6446,Irritant contact dermatitis due to drugs in contact with skin,894,A0976996
6447,Irritant contact dermatitis due to food in contact with skin,894,A0976999
6448,Irritant contact dermatitis due to plants except food,894,A0977013
6449,Subacute (active) lichen planus,894,A1092715
6450,Transepidermal elimination disorders,1000,A1105960
6451,Transepidermal elimination disorder unspecified,894,A1105958
6452,Drug-induced pemphigus,894,A0922632
6453,Generalized skin eruption due to drugs and medicaments,894,A0950464
6454,Localized skin eruption due to drugs and medicaments,894,A0989143
6455,Pruritus scroti,894,A1058879
6456,Fetus and newborn affected by noxious influences transmitted via placenta or breast milk,1000,A0941650
6457,Fetus and newborn affected by maternal use of tobacco,894,A0941645
6458,Fetus and newborn affected by maternal use of nutritional chemical substances,894,A0941642
6459,Fetus and newborn affected by maternal exposure to environmental chemical substances,894,A0941616
6460,Sequelae of superficial injury of head,894,A1082234
6461,Multiple injuries of head,894,A1006062
6462,Multiple superficial injuries of head,894,A1006221
6463,Multiple injuries of neck,894,A1006072
6464,Multiple superficial injuries of neck,894,A1006230
6465,Multiple open wounds of neck,894,A1006145
6466,Multiple injuries of thorax,894,A1006077
6467,Open wounds involving thorax with abdomen lower back and pelvis,894,A1023306
6468,Multiple superficial injuries of thorax,894,A1006236
6469,Injury of multiple intra-abdominal organs,894,A0971282
6470,Multiple open wounds of forearm,894,A1006134
6471,Multiple open wounds of lower leg,894,A1006142
6472,Multiple open wounds of abdomen lower back and pelvis,894,A1006127
6473,Multiple superficial injuries of shoulder and upper arm,894,A1006233
6474,Multiple superficial injuries of forearm,894,A1006218
6475,Multiple superficial injuries of wrist and hand,894,A1006239
6476,Multiple superficial injuries of hip and thigh,894,A1006224
6477,Multiple superficial injuries of lower leg,894,A1006227
6478,Multiple superficial injuries of ankle and foot,894,A1006215
6479,Multiple superficial injuries of abdomen lower back and pelvis,894,A1006212
6480,Superficial injuries involving multiple body regions,1000,A1094565
6481,Superficial injuries involving head with neck,894,A1094562
6482,Superficial injuries involving multiple regions of upper limb(s) with lower limb(s),894,A1094572
6483,Open wounds involving multiple regions of upper limb(s) with lower limb(s),894,A1023300
6484,Injuries of brain and cranial nerves with injuries of nerves and spinal cord at neck level,894,A0970629
6485,Open wound of front wall of thorax,894,A1023098
6486,Multiple open wounds of thoracic wall,894,A1006151
6487,Sequelae of open wound of lower limb,894,A1082174
6488,Sequelae of dislocation sprain and strain of lower limb,894,A1082063
6489,Sequelae of injury of muscle and tendon of lower limb,894,A1082132
6490,Injury to multiple structures of knee,894,A0971791
6491,Multiple injuries of ankle and foot,894,A1006057
6492,Crushing injury of skull,894,A0909881
6493,Sequelae of crushing injury and traumatic amputation of upper limb,894,A1082060
6494,Sequelae of crushing injury and traumatic amputation of lower limb,894,A1082057
6495,Crushing injuries involving multiple body regions,1000,A0909813
6496,Crushing injuries involving head with neck,894,A0909810
6497,Crushing injuries involving multiple regions of upper limb(s) with lower limb(s),894,A0909820
6498,Crushing injuries of thorax with abdomen lower back and pelvis with limb(s),894,A0909828
6499,Corrosion of first degree of head and neck,816,A0907700
6500,Sunburn of first degree,894,A1094193
6501,Corrosion of first degree of trunk,816,A0907707
6502,Corrosion of first degree of shoulder and upper limb except wrist and hand,816,A0907705
6503,Corrosion of first degree of wrist and hand,816,A0907709
6504,Corrosion of first degree of hip and lower limb except ankle and foot,816,A0907702
6505,Corrosion of second degree of hip and lower limb except ankle and foot,816,A0907735
6506,Corrosion of second degree of shoulder and upper limb except wrist and hand,816,A0907736
6507,Corrosion of third degree of hip and lower limb except ankle and foot,816,A0907748
6508,Corrosion of second degree of head and neck,816,A0907733
6509,Sunburn of second degree,894,A1094195
6510,Corrosion of second degree of trunk,816,A0907738
6511,Corrosion of second degree of wrist and hand,816,A0907740
6512,Sunburn of third degree,894,A1094198
6513,Corrosion of third degree of trunk,816,A0907752
6514,Corrosion of third degree of shoulder and upper limb except wrist and hand,816,A0907750
6515,Corrosion of third degree of wrist and hand,816,A0907754
6516,Corrosion of third degree of head and neck,816,A0907746
6517,Burn and corrosion of hip and lower limb except ankle and foot,894,A0883145
6518,Corrosion of unspecified degree of trunk,816,A0907767
6519,Corrosion of unspecified degree of shoulder and upper limb except wrist and hand,816,A0907765
6520,Corrosion of mouth and pharynx,816,A0907719
6521,Corrosion of larynx and trachea,816,A0907716
6522,Corrosion involving larynx and trachea with lung,816,A0907688
6523,Corrosion of internal genitourinary organs,816,A0907714
6524,Corrosion of first degree body region unspecified,816,A0907711
6525,Corrosion of second degree body region unspecified,816,A0907742
6526,Corrosion of third degree body region unspecified,816,A0907756
6527,Corrosion of first degree of ankle and foot,816,A0907698
6528,Corrosion of second degree of ankle and foot,816,A0907731
6529,Corrosion of third degree of ankle and foot,816,A0907744
6530,Corrosions of multiple regions unspecified degree,816,A0907815
6531,Corrosions of multiple regions no more than first-degree corrosions mentioned,816,A0907812
6532,Corrosions of multiple regions no more than second-degree corrosions mentioned,816,A0907813
6533,Sequelae of burns corrosions and frostbite,1000,A1082043
6534,Sequelae of burn corrosion and frostbite of trunk,894,A1082039
6535,Sequelae of burn corrosion and frostbite of lower limb,894,A1082037
6536,Corrosions involving less than 10% of body surface,816,A0907807
6537,Corrosions involving 10-19% of body surface,816,A0907789
6538,Corrosions involving 30-39% of body surface,816,A0907793
6539,Corrosions involving 40-49% of body surface,816,A0907795
6540,Corrosions involving 50-59% of body surface,816,A0907797
6541,Corrosions involving 60-69% of body surface,816,A0907799
6542,Corrosions involving 70-79% of body surface,816,A0907801
6543,Corrosions involving 80-89% of body surface,816,A0907803
6544,Corrosions involving 90% or more of body surface,816,A0907805
6545,Traumatic amputation at level between hip and knee,894,A1107166
6546,Traumatic amputation of part of thorax,894,A1107242
6547,Traumatic amputation of external genital organs,894,A1107189
6548,Traumatic amputation of trunk level unspecified,894,A1107258
6549,Traumatic amputations involving multiple body regions,1000,A1107319
6550,Traumatic amputation of one hand and other arm [any level except hand],894,A1107222
6551,Traumatic amputation of one foot and other leg [any level except foot],894,A1107219
6552,Traumatic amputation of upper and lower limbs any combination [any level],894,A1107271
6553,Injury of thoracic trachea,894,A0971593
6554,Focal brain injury,894,A0944671
6555,Intracranial injury with prolonged coma,894,A0975756
6556,Injury of nerves and spinal cord at neck level,1000,A0971390
6557,Injury of nerves and spinal cord at thorax level,1000,A0971393
6558,Injury of nerves and lumbar spinal cord at abdomen lower back and pelvis level,1000,A0971387
6559,Sequelae of injury of eye and orbit,894,A1082122
6560,Traumatic amputation of ear,894,A1107186
6561,Injuries of intrathoracic organs with intra-abdominal and pelvic organs,894,A0970632
6562,Multiple injuries of intrathoracic organs,894,A1006067
6563,Injury of multiple pelvic organs,894,A0971316
6564,Injury of intra-abdominal organ(s) with pelvic organ(s),894,A0971214
6565,Injury of multiple blood vessels at neck level,894,A0971273
6566,Injury of radial artery at wrist and hand level,894,A0971547
6567,Injury of blood vessel(s) of thumb,894,A0971062
6568,Injury of superficial palmar arch,894,A0971581
6569,Injury of deep palmar arch,894,A0971133
6570,Injury of ulnar artery at wrist and hand level,894,A0971604
6571,Injury of vein at forearm level,894,A0971761
6572,Injury of multiple blood vessels at forearm level,894,A0971264
6573,Injury of peroneal artery,894,A0971529
6574,Injury of greater saphenous vein at lower leg level,894,A0971192
6575,Injury of lesser saphenous vein at lower leg level,894,A0971230
6576,Injury of multiple blood vessels at lower leg level,894,A0971270
6577,Injury of blood vessels at ankle and foot level,1000,A0971070
6578,Injury of unspecified blood vessel at ankle and foot level,894,A0971648
6579,Injury of dorsal vein of foot,894,A0971147
6580,Injury of multiple blood vessels at ankle and foot level,894,A0971261
6581,Injury of multiple blood vessels at hip and thigh level,894,A0971267
6582,Injuries of blood vessels involving multiple body regions,894,A0970626
6583,Injury of thoracic sympathetic nerves,894,A0971590
6584,Fracture of skull and facial bones,1000,A0946814
6585,Fracture of skull and facial bones part unspecified,894,A0946817
6586,Fracture of malar and maxillary bones,894,A0946711
6587,Multiple fractures involving skull and facial bones,894,A1006009
6588,Multiple fractures of cervical spine,894,A1006012
6589,Multiple fractures of thoracic spine,894,A1006039
6590,Fracture of lumbar spine and pelvis,1000,A0946708
6591,Multiple fractures of lumbar spine and pelvis,894,A1006033
6592,Multiple fractures of metacarpal bones,894,A1006035
6593,Fracture of other finger,894,A0946754
6594,Multiple fractures of fingers,894,A1006021
6595,Fracture at wrist and hand level,1000,A0946560
6596,Multiple fractures of forearm,894,A1006027
6597,Fracture of upper limb level unspecified,1000,A0946849
6598,Sequelae of fracture at wrist and hand level,894,A1082077
6599,Multiple fractures of femur,894,A1006018
6600,Fracture of great toe,894,A0946678
6601,Fracture of other toe,894,A0946780
6602,Multiple fractures of foot,894,A1006024
6603,Multiple fractures of lower leg,894,A1006030
6604,Fracture of lower limb level unspecified,1000,A0946705
6605,Fractures involving multiple body regions,1000,A0946907
6606,Fractures involving head with neck,894,A0946904
6607,Fractures involving thorax with lower back and pelvis,894,A0946928
6608,Fractures involving multiple regions of one upper limb,894,A0946919
6609,Fractures involving multiple regions of one lower limb,894,A0946916
6610,Fractures involving multiple regions of both lower limbs,894,A0946910
6611,Fractures involving thorax with lower back and pelvis with limb(s),894,A0946931
6612,Infection and inflammatory reaction due to prosthetic device implant and graft in urinary system,894,A0968463
6613,Infection and inflammatory reaction due to prosthetic device implant and graft in genital tract,894,A0968460
6614,Mechanical complication of intraocular lens,894,A0998641
6615,Infection associated with artificial insemination,894,A0968466
6616,Complications of attempted introduction of fertilized ovum following in vitro fertilization,894,A0902324
6617,Complications of attempted introduction of embryo in embryo transfer,894,A0902321
6618,Malfunction of external stoma of urinary tract,894,A0996090
6619,Failed or difficult intubation,894,A0938549
6620,Infection following immunization,894,A0968476
6621,Angiotensin-converting-enzyme inhibitors,894,A0864158
6622,Calcium-channel blockers,894,A0889894
6623,Histamine H2-receptor antagonists,894,A0959721
6624,Saline and osmotic laxatives,894,A1078227
6625,Iminostilbenes,894,A0966372
6626,Formaldehyde,894,A0060579
6627,Carbon dioxide,894,A0399139
6628,Toxic effect of contact with fish,894,A1104915
6629,Herbicides and fungicides,894,A0958855
6630,Tobacco and nicotine,894,A1104013
6631,Maltreatment syndromes,1000,A0996737
6632,Maltreatment syndrome unspecified,894,A0996735
6633,Neglect or abandonment,894,A1009718
6634,Effects of high-pressure fluids,894,A0926266
6635,Effects of vibration,894,A0926281
6636,Phantom limb syndrome without pain,894,A1047468
6637,Conductive hearing loss bilateral,894,A0902757
6638,Conductive hearing loss unilateral with unrestricted hearing on the contralateral side,894,A0902760
6639,Sensorineural hearing loss bilateral,894,A1081758
6640,Sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side,894,A1081761
6641,Mixed conductive and sensorineural hearing loss unilateral with unrestricted hearing on the contralateral side,894,A1002795
6642,Osteitis deformans in neoplastic disease,816,A1025413
6643,Drug-induced androgenic alopecia,894,A0922561
6644,Flaccid paraplegia,894,A0944094
6645,Hypospadias penoscrotal,894,A0963184
6646,Hypospadias perineal,894,A0963187
6647,Bouchard's nodes (with arthropathy),816,A0881198
6648,Dichloromethane,894,A0048338
6649,Fluorine gas and hydrogen fluoride,894,A0944598
6650,Hydrogen sulfide,894,A0421975
6651,Mixed conductive and sensorineural hearing loss bilateral,894,A1002792
6652,Gingival and edentulous alveolar ridge lesions associated with trauma,894,A0950924
6653,Calculus of bile duct with cholangitis,894,A0889944
6654,Acute lymphadenitis of face head and neck,894,A0858321
6655,Photocontact dermatitis [berloque dermatitis],894,A1047928
6656,Heberden's nodes (with arthropathy),816,A0957997
6657,Anterior spinal and vertebral artery compression syndromes,816,A0865791
6658,Lumbago with sciatica,816,A0990168
6659,Late syphilis of kidney,894,A0983829
6660,Female tuberculous pelvic inflammatory disease,894,A0941153
6661,Female gonococcal pelvic inflammatory disease,894,A0941083
6662,Infections of bladder in pregnancy,894,A0968550
6663,Infections of urethra in pregnancy,894,A0968567
6664,Maternal care for (suspected) damage to fetus from alcohol,894,A0997962
6665,Infection of obstetric surgical wound,894,A0968513
6666,Hypospadias balanic,894,A0963178
6667,Contusion of toe(s) with damage to nail,894,A0906529
6668,Fractures involving multiple regions of both upper limbs,894,A0946913
6669,Mineralocorticoids and their antagonists,894,A1002312
6670,Chloroform,894,A0038197
6671,Tin and its compounds,894,A1103786
6672,Phosphorus and its compounds,894,A1047880
6673,Nitroderivatives and aminoderivatives of benzene and its homologues,894,A1011677
6674,HIV disease resulting in Burkitt's lymphoma,894,A0954659
6675,HIV disease resulting in other types of non-Hodgkin's lymphoma,894,A0954671
6676,Sternomastoid injury due to birth injury,894,A1091639
6677,Subcutaneous fat necrosis due to birth injury,894,A1092956
6678,Neonatal aspiration of milk and regurgitated food,894,A1009987
6679,Sepsis of newborn due to Staphylococcus aureus,894,A1081835
6680,Sepsis of newborn due to Escherichia coli,894,A1081832
6681,Sepsis of newborn due to anaerobes,894,A1081838
6682,Neonatal withdrawal symptoms from maternal use of drugs of addiction,894,A1010274
6683,Withdrawal symptoms from therapeutic use of drugs in newborn,894,A1121604
6684,Acquired periventricular cysts of newborn,894,A0857821
6685,Neonatal cerebral leukomalacia,894,A1010024
6686,Neonatal hypertension,894,A1010116
6687,Overexertion and strenuous or repetitive movements,894,A1036241
6688,Aminoglycosides,816,A0022773
6689,Thyroid hormones and substitutes,816,A1103548
6690,Valproic acid,816,A0815881
6691,Local anaesthetics,816,A0988704
6692,Monoamine-oxidase-inhibitor antidepressants,816,A1004162
6693,Phenothiazine antipsychotics and neuroleptics,816,A1047658
6694,Mineralocorticoid antagonists [aldosterone antagonists],816,A1002307
6695,Delivery by combination of forceps and vacuum extractor,894,A0914712
6696,Chronic crepitant synovitis of hand and wrist,816,A0896070
6697,Osteomyelitis of vertebra,816,A1025566
6698,Flatback syndrome,816,A0944160
6699,Disturbances of sodium balance of newborn,894,A0920218
6700,Disturbances of potassium balance of newborn,894,A0920207
6701,Hydrops fetalis due to isoimmunization,894,A0283911
6702,Neonatal cardiac failure,894,A1010003
6703,Neonatal aspiration of blood,894,A1009981
6704,Chronic respiratory disease originating in the perinatal period,1000,A0896407
6705,Unspecified chronic respiratory disease originating in the perinatal period,894,A1112287
6706,Light for gestational age,894,A0731764
6707,Extremely low birth weight,894,A0935420
6708,Umbilical polyp of newborn,894,A1110665
6709,Mild and moderate birth asphyxia,894,A1002164
6710,Congenital viral diseases,1000,A0904185
6711,Congenital viral disease unspecified,894,A0904182
6712,Congenital falciparum malaria,894,A0903533
6713,Peripheral and cutaneous T-cell lymphomas,894,A1046116
6714,Histamine H2-receptor antagonists,816,A0959722
6715,Subacute necrotizing myelitis,894,A1092758
6716,Traumatic cerebral oedema,894,A1107388
6717,Congenital malformation of vitreous humour,894,A0903821
6718,Postmastectomy lymphoedema syndrome,894,A1053619
6719,Other anaemias,1000,A1027335
6720,Aluminium bone disease,816,A0862421
6721,Vaginal delivery following previous caesarean section,894,A1115906
6722,Abnormalities of forces of labour,1000,A0852542
6723,Abnormality of forces of labour unspecified,894,A0852574
6724,Precipitate labour,894,A0775985
6725,Delayed and secondary postpartum haemorrhage,894,A0914539
6726,Postimmunization arthropathy,816,A1053569
6727,Ischaemic infarction of muscle,816,A0977059
6728,Umbilical haemorrhage of newborn,1000,A0813191
6729,Umbilical haemorrhage of newborn unspecified,894,A1110644
6730,Massive umbilical haemorrhage of newborn,894,A0997803
6731,Cerebral haemorrhage due to birth injury,894,A0893358
6732,Subdural haemorrhage due to birth injury,894,A1093049
6733,Fetus and newborn affected by malpresentation before labour,894,A0941602
6734,Acute meningococcaemia,894,A0639743
6735,Taenia solium taeniasis,894,A1100286
6736,Local anaesthetics,894,A0988703
6737,Antidiarrhoeal drugs,816,A0866299
6738,Congenital non-neoplastic naevus,894,A0903983
6739,External upper lip,816,A0411615
6740,Lip unspecified inner aspect,816,A0988010
6741,Traumatic subarachnoid haemorrhage,894,A1107536
6742,Localization-related (focal) (partial) idiopathic epilepsy and epileptic syndromes with seizures of localized onset,894,A0989043
6743,Spinal and epidural anaesthesia-induced headache during pregnancy,894,A1089239
6744,Spinal and epidural anaesthesia-induced headache during the puerperium,894,A1089242
6745,Spinal and epidural anaesthesia-induced headache during labour and delivery,894,A1089236
6746,Intracerebral haemorrhage intraventricular,894,A0975549
6747,Intracerebral haemorrhage multiple localized,894,A0975552
6748,Sequelae of intracerebral haemorrhage,894,A1082153
6749,Subarachnoid haemorrhage from carotid siphon and bifurcation,894,A1092838
6750,Sequelae of subarachnoid haemorrhage,894,A1082224
6751,Secondary sideroblastic anaemia due to drugs and toxins,894,A1080855
6752,Secondary sideroblastic anaemia due to disease,894,A1080852
6753,Anaemia due to disorders of nucleotide metabolism,894,A0863055
6754,Anaemia in neoplastic disease,894,A0863097
6755,Antibody deficiency with near-normal immunoglobulins or with hyperimmunoglobulinaemia,894,A0866199
6756,Central haemorrhagic necrosis of liver,894,A0892993
6757,Recurrent and persistent haematuria unspecified,894,A1065150
6758,Recurrent and persistent haematuria,1000,A1065121
6759,Recurrent and persistent haematuria minor glomerular abnormality,894,A1065145
6760,Recurrent and persistent haematuria focal and segmental glomerular lesions,894,A1065142
6761,Recurrent and persistent haematuria diffuse membranous glomerulonephritis,894,A1065133
6762,Recurrent and persistent haematuria diffuse mesangial proliferative glomerulonephritis,894,A1065136
6763,Recurrent and persistent haematuria diffuse endocapillary proliferative glomerulonephritis,894,A1065130
6764,Recurrent and persistent haematuria diffuse mesangiocapillary glomerulonephritis,894,A1065139
6765,Recurrent and persistent haematuria dense deposit disease,894,A1065124
6766,Recurrent and persistent haematuria diffuse crescentic glomerulonephritis,894,A1065127
6767,Primary oligomenorrhoea,894,A1055837
6768,Secondary oligomenorrhoea,894,A1080763
6769,Gestational oedema with proteinuria,894,A0950808
6770,False labour at or after 37 completed weeks of gestation,894,A0939928
6771,Multiple delivery all by caesarean section,894,A1005983
6772,Obstructed labour due to abnormality of maternal pelvic organs,894,A1018348
6773,Obstructed labour due to deformed pelvis,894,A1018360
6774,Obstructed labour due to generally contracted pelvis,894,A1018376
6775,Obstructed labour due to pelvic inlet contraction,894,A1018400
6776,Obstructed labour due to pelvic outlet and mid-cavity contraction,894,A1018403
6777,Obstructed labour due to breech presentation,894,A1018351
6778,Obstructed labour due to face presentation,894,A1018363
6779,Obstructed labour due to brow presentation,894,A1018354
6780,Obstructed labour due to shoulder presentation,894,A1018408
6781,Obstructed labour due to compound presentation,894,A1018357
6782,Obstructed labour due to unusually large fetus,894,A1018411
6783,Intrapartum haemorrhage with coagulation defect,894,A0975976
6784,Labour and delivery complicated by fetal heart rate anomaly,894,A0982591
6785,Labour and delivery complicated by biochemical evidence of fetal stress,894,A0982584
6786,Osteonecrosis due to haemoglobinopathy,816,A1025576
6787,Corrosion of oesophagus,816,A0907722
6788,Concussion and oedema of cervical spinal cord,894,A0902646
6789,Concussion and oedema of thoracic spinal cord,894,A0902651
